
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:65002        127.0.0.1:65001        ESTABLISHED     5964
  TCP    127.0.0.1:65138        0.0.0.0:0              LISTENING       5152
  TCP    172.25.32.1:139        0.0.0.0:0              LISTENING       4
  TCP    172.26.144.1:139       0.0.0.0:0              LISTENING       4
  TCP    [::]:80                [::]:0                 LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1356
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1433              [::]:0                 LISTENING       6328
  TCP    [::]:1522              [::]:0                 LISTENING       35104
  TCP    [::]:2179              [::]:0                 LISTENING       2936
  TCP    [::]:2701              [::]:0                 LISTENING       11408
  TCP    [::]:3344              [::]:0                 LISTENING       5764
  TCP    [::]:3389              [::]:0                 LISTENING       1548
  TCP    [::]:5357              [::]:0                 LISTENING       4
  TCP    [::]:7070              [::]:0                 LISTENING       4488
  TCP    [::]:7680              [::]:0                 LISTENING       10700
  TCP    [::]:44300             [::]:0                 LISTENING       4
  TCP    [::]:44343             [::]:0                 LISTENING       4
  TCP    [::]:44398             [::]:0                 LISTENING       4
  TCP    [::]:44399             [::]:0                 LISTENING       4
  TCP    [::]:44416             [::]:0                 LISTENING       4
  TCP    [::]:49152             [::]:0                 LISTENING       4
  TCP    [::]:49153             [::]:0                 LISTENING       4
  TCP    [::]:49154             [::]:0                 LISTENING       4
  TCP    [::]:49664             [::]:0                 LISTENING       1032
  TCP    [::]:49665             [::]:0                 LISTENING       1008
  TCP    [::]:49666             [::]:0                 LISTENING       1900
  TCP    [::]:49667             [::]:0                 LISTENING       2748
  TCP    [::]:49671             [::]:0                 LISTENING       3840
  TCP    [::]:49673             [::]:0                 LISTENING       5032
  TCP    [::]:49674             [::]:0                 LISTENING       1032
  TCP    [::]:51000             [::]:0                 LISTENING       4
  TCP    [::]:51266             [::]:0                 LISTENING       4
  TCP    [::]:51308             [::]:0                 LISTENING       4
  TCP    [::]:52000             [::]:0                 LISTENING       4
  TCP    [::]:58390             [::]:0                 LISTENING       4
  TCP    [::]:58411             [::]:0                 LISTENING       4
  TCP    [::]:58883             [::]:0                 LISTENING       888
  TCP    [::]:65107             [::]:0                 LISTENING       4648
  TCP    [::1]:1434             [::]:0                 LISTENING       6328
  TCP    [::1]:1522             [::]:0                 LISTENING       16028
  TCP    [::1]:4200             [::]:0                 LISTENING       12972
  TCP    [::1]:4200             [::1]:60140            ESTABLISHED     12972
  TCP    [::1]:5000             [::]:0                 LISTENING       10332
  TCP    [::1]:5244             [::]:0                 LISTENING       32420
  TCP    [::1]:7135             [::]:0                 LISTENING       32420
  TCP    [::1]:7135             [::1]:56999            ESTABLISHED     32420
  TCP    [::1]:30523            [::]:0                 LISTENING       11536
